date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:21:07	87352/87352	---M--	200	added ('OK')	application/font-woff	etag:%2215538-613239ff9df40%22	https://html.phoenixcoded.net/light-able/bootstrap/assets/fonts/fontawesome/fa-brands-400.woff	C:/Users/User/Desktop/admin/html.phoenixcoded.net/light-able/bootstrap/assets/fonts/fontawesome/fa-brands-400.woff	(from https://html.phoenixcoded.net/light-able/bootstrap/assets/fonts/fontawesome.css)
23:21:07	129048/129048	---M--	200	added ('OK')	application/font-sfnt	etag:%221f818-613239ff9df40%22	https://html.phoenixcoded.net/light-able/bootstrap/assets/fonts/fontawesome/fa-brands-400.ttf	C:/Users/User/Desktop/admin/html.phoenixcoded.net/light-able/bootstrap/assets/fonts/fontawesome/fa-brands-400.ttf	(from https://html.phoenixcoded.net/light-able/bootstrap/assets/fonts/fontawesome.css)
23:21:08	689924/689924	---M--	200	added ('OK')	image/svg+xml	etag:%22a8704-613239ff9df40%22	https://html.phoenixcoded.net/light-able/bootstrap/assets/fonts/fontawesome/fa-brands-400.svg	C:/Users/User/Desktop/admin/html.phoenixcoded.net/light-able/bootstrap/assets/fonts/fontawesome/fa-brands-400.svg	(from https://html.phoenixcoded.net/light-able/bootstrap/assets/fonts/fontawesome.css)
23:21:08	132812/132812	---M--	200	added ('OK')	text/html	etag:%22206cc-613239ff9df40%22	https://html.phoenixcoded.net/light-able/bootstrap/assets/fonts/material/material.woff2	C:/Users/User/Desktop/admin/html.phoenixcoded.net/light-able/bootstrap/assets/fonts/material/material.html	(from https://html.phoenixcoded.net/light-able/bootstrap/assets/fonts/material.css)
23:21:09	405430/405430	---M--	200	added ('OK')	image/jpeg	etag:%2262fb6-619d178def1c0%22	https://html.phoenixcoded.net/light-able/bootstrap/assets/images/authentication/img-auth-bg.jpg	C:/Users/User/Desktop/admin/html.phoenixcoded.net/light-able/bootstrap/assets/images/authentication/img-auth-bg.jpg	(from https://html.phoenixcoded.net/light-able/bootstrap/assets/css/style.css)
23:21:09	3452/3452	---M--	200	added ('OK')	image/jpeg	etag:%22d7c-619d178def1c0%22	https://html.phoenixcoded.net/light-able/bootstrap/assets/images/user/avatar-5.jpg	C:/Users/User/Desktop/admin/html.phoenixcoded.net/light-able/bootstrap/assets/images/user/avatar-5.jpg	(from https://html.phoenixcoded.net/light-able/bootstrap/dashboard/affiliate.html)
23:21:10	3706/3706	---M--	200	added ('OK')	image/jpeg	etag:%22e7a-619d178def1c0%22	https://html.phoenixcoded.net/light-able/bootstrap/assets/images/user/avatar-6.jpg	C:/Users/User/Desktop/admin/html.phoenixcoded.net/light-able/bootstrap/assets/images/user/avatar-6.jpg	(from https://html.phoenixcoded.net/light-able/bootstrap/dashboard/affiliate.html)
23:21:10	3252/3252	---M--	200	added ('OK')	image/jpeg	etag:%22cb4-619d178def1c0%22	https://html.phoenixcoded.net/light-able/bootstrap/assets/images/user/avatar-7.jpg	C:/Users/User/Desktop/admin/html.phoenixcoded.net/light-able/bootstrap/assets/images/user/avatar-7.jpg	(from https://html.phoenixcoded.net/light-able/bootstrap/dashboard/affiliate.html)
23:21:10	1475/1475	---M--	200	added ('OK')	image/png	etag:%225c3-619d178def1c0%22	https://html.phoenixcoded.net/light-able/bootstrap/assets/images/widget/img-food.png	C:/Users/User/Desktop/admin/html.phoenixcoded.net/light-able/bootstrap/assets/images/widget/img-food.png	(from https://html.phoenixcoded.net/light-able/bootstrap/dashboard/finance.html)
23:21:11	1344/1344	---M--	200	added ('OK')	image/png	etag:%22540-619d178def1c0%22	https://html.phoenixcoded.net/light-able/bootstrap/assets/images/widget/img-travel.png	C:/Users/User/Desktop/admin/html.phoenixcoded.net/light-able/bootstrap/assets/images/widget/img-travel.png	(from https://html.phoenixcoded.net/light-able/bootstrap/dashboard/finance.html)
23:21:11	1308/1308	---M--	200	added ('OK')	image/png	etag:%2251c-619d178def1c0%22	https://html.phoenixcoded.net/light-able/bootstrap/assets/images/widget/img-shoping.png	C:/Users/User/Desktop/admin/html.phoenixcoded.net/light-able/bootstrap/assets/images/widget/img-shoping.png	(from https://html.phoenixcoded.net/light-able/bootstrap/dashboard/finance.html)
23:21:11	1117/1117	---M--	200	added ('OK')	image/png	etag:%2245d-619d178def1c0%22	https://html.phoenixcoded.net/light-able/bootstrap/assets/images/widget/img-helth.png	C:/Users/User/Desktop/admin/html.phoenixcoded.net/light-able/bootstrap/assets/images/widget/img-helth.png	(from https://html.phoenixcoded.net/light-able/bootstrap/dashboard/finance.html)
23:21:11	2399/2399	---M--	200	added ('OK')	image/png	etag:%2295f-619d178def1c0%22	https://html.phoenixcoded.net/light-able/bootstrap/assets/images/widget/img-card-1.png	C:/Users/User/Desktop/admin/html.phoenixcoded.net/light-able/bootstrap/assets/images/widget/img-card-1.png	(from https://html.phoenixcoded.net/light-able/bootstrap/dashboard/finance.html)
23:21:12	2376/2376	---M--	200	added ('OK')	image/png	etag:%22948-619d178def1c0%22	https://html.phoenixcoded.net/light-able/bootstrap/assets/images/widget/img-card-2.png	C:/Users/User/Desktop/admin/html.phoenixcoded.net/light-able/bootstrap/assets/images/widget/img-card-2.png	(from https://html.phoenixcoded.net/light-able/bootstrap/dashboard/finance.html)
23:21:12	5163/5163	---M-Z	200	added ('OK')	application/javascript	etag:%22142b-619d178def1c0-gzip%22	https://html.phoenixcoded.net/light-able/bootstrap/assets/js/pages/dashboard-finance.js	C:/Users/User/Desktop/admin/html.phoenixcoded.net/light-able/bootstrap/assets/js/pages/dashboard-finance.js	(from https://html.phoenixcoded.net/light-able/bootstrap/dashboard/finance.html)
23:21:12	3307/3307	---M--	200	added ('OK')	image/jpeg	etag:%22ceb-619d178def1c0%22	https://html.phoenixcoded.net/light-able/bootstrap/assets/images/user/avatar-10.jpg	C:/Users/User/Desktop/admin/html.phoenixcoded.net/light-able/bootstrap/assets/images/user/avatar-10.jpg	(from https://html.phoenixcoded.net/light-able/bootstrap/dashboard/invoice.html)
23:21:13	3398/3398	---M-Z	200	added ('OK')	application/javascript	etag:%22d46-619d178def1c0-gzip%22	https://html.phoenixcoded.net/light-able/bootstrap/assets/js/pages/invoice-dashboard.js	C:/Users/User/Desktop/admin/html.phoenixcoded.net/light-able/bootstrap/assets/js/pages/invoice-dashboard.js	(from https://html.phoenixcoded.net/light-able/bootstrap/dashboard/invoice.html)
